OMIM.ID	UMLS.ID
OMIM:165300	C1833809
OMIM:165550	C0338502
OMIM:165800	C3665488
OMIM:166200	C0029434
OMIM:166210	C0268358
OMIM:166220	C0268363
OMIM:166250	C0432283
OMIM:166300	C2674705
OMIM:166350	C0334041
OMIM:166600	C3179239
OMIM:166700	C0029455
OMIM:166700	C0265514
OMIM:166780	C2931416
OMIM:167210	C0265334
OMIM:167320	C1833662
OMIM:167400	C1833661
OMIM:167800	C0341474
OMIM:168300	C1868617
OMIM:168400	C1868616
OMIM:168500	C1868598
OMIM:168550	C1868597
OMIM:168605	C1868594
OMIM:169100	C1868570
OMIM:169500	C3164344
OMIM:169600	C0085106
OMIM:170100	C0268532
OMIM:170390	C1563715
OMIM:170400	C0238358
OMIM:170500	C0238357
OMIM:171400	C0025268
OMIM:172800	C0080024
OMIM:172870	C1868310
OMIM:173100	C0271567
OMIM:173200	C0032027
OMIM:174050	C0158683
OMIM:174200	C1868120
OMIM:174200	C3887487
OMIM:174300	C1868118
OMIM:174500	C1969369
OMIM:174500	C1868114
OMIM:174700	C0265553
OMIM:174800	C0242292
OMIM:174810	C0432292
OMIM:175100	C0032580
OMIM:175100	C0017097
OMIM:175200	C0031269
OMIM:175700	C0265306
OMIM:175780	C0302892
OMIM:175780	C1867983
OMIM:175800	C0949506
OMIM:175900	C0265970
OMIM:176000	C0162565
OMIM:176100	C0162569
OMIM:176200	C0162532
OMIM:176270	C0032897
OMIM:176305	C1867801
OMIM:176400	C0342543
OMIM:176410	C0342549
OMIM:176450	C1531773
OMIM:176500	C1867773
OMIM:176670	C0033300
OMIM:176807	C2931456
OMIM:176860	C0398625
OMIM:176920	C0085261
OMIM:177000	C0162568
OMIM:177170	C0410538
OMIM:177200	C0221043
OMIM:177735	C1449842
OMIM:177735	C0268436
OMIM:177820	C1280798
OMIM:178110	C1867440
OMIM:178300	C0266573
OMIM:178500	C0085786
OMIM:179800	C0259810
OMIM:179800	C2931885
OMIM:179850	C3714534
OMIM:180200	C0035335
OMIM:180500	C0265341
OMIM:180550	C1867155
OMIM:180700	C0265205
OMIM:180750	C1867146
OMIM:180800	C0205713
OMIM:180849	C0035934
OMIM:180860	C0175693
OMIM:180920	C0158667
OMIM:181270	C1867020
OMIM:181350	C0410190
OMIM:181400	C1867005
OMIM:181405	C0751335
OMIM:181450	C1866994
OMIM:182212	C1321551
OMIM:182230	C0338503
OMIM:182250	C0432254
OMIM:182280	C0149925
OMIM:182290	C0795864
OMIM:182410	C0282492
OMIM:182600	C2931355
OMIM:182601	C1866855
OMIM:182900	C0037889
OMIM:182920	C1866785
OMIM:182940	C0080178
OMIM:182980	C1866777
OMIM:183086	C0752124
OMIM:183090	C0752121
OMIM:183900	C2745959
