:START_ID|Source|:END_ID|:TYPE
ENTREZ:3150|NCBI_Entrez_Gene|MIM:163920|belongs_to
ENTREZ:5732|NCBI_Entrez_Gene|MIM:176804|belongs_to
ENTREZ:57217|NCBI_Entrez_Gene|MIM:609332|belongs_to
ENTREZ:3773|NCBI_Entrez_Gene|MIM:605722|belongs_to
ENTREZ:360203|NCBI_Entrez_Gene|MIM:613699|belongs_to
ENTREZ:7474|NCBI_Entrez_Gene|MIM:164975|belongs_to
ENTREZ:9733|NCBI_Entrez_Gene|MIM:611684|belongs_to
ENTREZ:100499168|NCBI_Entrez_Gene|MIM:613460p|belongs_to
ENTREZ:5393|NCBI_Entrez_Gene|MIM:606180|belongs_to
ENTREZ:259|NCBI_Entrez_Gene|MIM:176870|belongs_to
ENTREZ:1607|NCBI_Entrez_Gene|MIM:604070|belongs_to
ENTREZ:10324|NCBI_Entrez_Gene|MIM:607701|belongs_to
ENTREZ:192666|NCBI_Entrez_Gene|MIM:607742|belongs_to
ENTREZ:9895|NCBI_Entrez_Gene|MIM:615000|belongs_to
ENTREZ:441317|NCBI_Entrez_Gene|MIM:613044|belongs_to
ENTREZ:7222|NCBI_Entrez_Gene|MIM:602345|belongs_to
ENTREZ:406894|NCBI_Entrez_Gene|MIM:612512|belongs_to
ENTREZ:8120|NCBI_Entrez_Gene|MIM:602166|belongs_to
ENTREZ:9730|NCBI_Entrez_Gene|MIM:617259|belongs_to
ENTREZ:57325|NCBI_Entrez_Gene|MIM:617501|belongs_to
ENTREZ:10992|NCBI_Entrez_Gene|MIM:605591|belongs_to
ENTREZ:10256|NCBI_Entrez_Gene|MIM:603272|belongs_to
ENTREZ:201501|NCBI_Entrez_Gene|MIM:616591|belongs_to
ENTREZ:84858|NCBI_Entrez_Gene|MIM:613902|belongs_to
ENTREZ:2354|NCBI_Entrez_Gene|MIM:164772|belongs_to
ENTREZ:80323|NCBI_Entrez_Gene|MIM:616909|belongs_to
ENTREZ:121643|NCBI_Entrez_Gene|MIM:609429|belongs_to
ENTREZ:728049|NCBI_Entrez_Gene|MIM:300787|belongs_to
ENTREZ:10985|NCBI_Entrez_Gene|MIM:605614|belongs_to
ENTREZ:6758|NCBI_Entrez_Gene|MIM:300327|belongs_to
ENTREZ:56122|NCBI_Entrez_Gene|MIM:606340|belongs_to
ENTREZ:84525|NCBI_Entrez_Gene|MIM:607275|belongs_to
ENTREZ:64801|NCBI_Entrez_Gene|MIM:611647|belongs_to
ENTREZ:5335|NCBI_Entrez_Gene|MIM:172420|belongs_to
ENTREZ:114876|NCBI_Entrez_Gene|MIM:606730|belongs_to
ENTREZ:4258|NCBI_Entrez_Gene|MIM:601733|belongs_to
ENTREZ:60437|NCBI_Entrez_Gene|MIM:617685|belongs_to
ENTREZ:22949|NCBI_Entrez_Gene|MIM:601274|belongs_to
ENTREZ:5754|NCBI_Entrez_Gene|MIM:601890|belongs_to
ENTREZ:80019|NCBI_Entrez_Gene|MIM:616388|belongs_to
ENTREZ:160287|NCBI_Entrez_Gene|MIM:618928|belongs_to
ENTREZ:5954|NCBI_Entrez_Gene|MIM:602735|belongs_to
ENTREZ:9746|NCBI_Entrez_Gene|MIM:611324|belongs_to
ENTREZ:79068|NCBI_Entrez_Gene|MIM:610966|belongs_to
ENTREZ:5531|NCBI_Entrez_Gene|MIM:602035|belongs_to
ENTREZ:6934|NCBI_Entrez_Gene|MIM:602228|belongs_to
ENTREZ:10422|NCBI_Entrez_Gene|MIM:608129|belongs_to
ENTREZ:344018|NCBI_Entrez_Gene|MIM:608697|belongs_to
ENTREZ:25758|NCBI_Entrez_Gene|MIM:612297|belongs_to
ENTREZ:221223|NCBI_Entrez_Gene|MIM:618678|belongs_to
ENTREZ:2840|NCBI_Entrez_Gene|MIM:603071|belongs_to
ENTREZ:2997|NCBI_Entrez_Gene|MIM:138570|belongs_to
ENTREZ:7986|NCBI_Entrez_Gene|MIM:600510p|belongs_to
ENTREZ:8028|NCBI_Entrez_Gene|MIM:602409|belongs_to
ENTREZ:7286|NCBI_Entrez_Gene|MIM:600087|belongs_to
ENTREZ:4215|NCBI_Entrez_Gene|MIM:602539|belongs_to
ENTREZ:203286|NCBI_Entrez_Gene|MIM:615370|belongs_to
ENTREZ:7136|NCBI_Entrez_Gene|MIM:191043|belongs_to
ENTREZ:220441|NCBI_Entrez_Gene|MIM:616512|belongs_to
ENTREZ:10858|NCBI_Entrez_Gene|MIM:604087|belongs_to
ENTREZ:386653|NCBI_Entrez_Gene|MIM:609509|belongs_to
ENTREZ:4134|NCBI_Entrez_Gene|MIM:157132|belongs_to
ENTREZ:51805|NCBI_Entrez_Gene|MIM:605196|belongs_to
ENTREZ:389827|NCBI_Entrez_Gene|MIM:615345|belongs_to
ENTREZ:406982|NCBI_Entrez_Gene|MIM:609420|belongs_to
ENTREZ:5089|NCBI_Entrez_Gene|MIM:176311|belongs_to
ENTREZ:166824|NCBI_Entrez_Gene|MIM:612620|belongs_to
ENTREZ:377841|NCBI_Entrez_Gene|MIM:616748|belongs_to
ENTREZ:100189416|NCBI_Entrez_Gene|MIM:615304|belongs_to
ENTREZ:84899|NCBI_Entrez_Gene|MIM:618203|belongs_to
ENTREZ:6462|NCBI_Entrez_Gene|MIM:182205|belongs_to
ENTREZ:774|NCBI_Entrez_Gene|MIM:601012|belongs_to
ENTREZ:26269|NCBI_Entrez_Gene|MIM:605649|belongs_to
ENTREZ:283748|NCBI_Entrez_Gene|MIM:612864|belongs_to
ENTREZ:84639|NCBI_Entrez_Gene|MIM:615296|belongs_to
ENTREZ:50940|NCBI_Entrez_Gene|MIM:604961|belongs_to
ENTREZ:219|NCBI_Entrez_Gene|MIM:100670|belongs_to
ENTREZ:2978|NCBI_Entrez_Gene|MIM:600364|belongs_to
ENTREZ:25802|NCBI_Entrez_Gene|MIM:602715|belongs_to
ENTREZ:126206|NCBI_Entrez_Gene|MIM:609658|belongs_to
ENTREZ:861|NCBI_Entrez_Gene|MIM:151385|belongs_to
ENTREZ:80024|NCBI_Entrez_Gene|MIM:609841|belongs_to
ENTREZ:777778|NCBI_Entrez_Gene|MIM:258500p|belongs_to
ENTREZ:6160|NCBI_Entrez_Gene|MIM:617415|belongs_to
ENTREZ:51692|NCBI_Entrez_Gene|MIM:606029|belongs_to
ENTREZ:887|NCBI_Entrez_Gene|MIM:118445|belongs_to
ENTREZ:54760|NCBI_Entrez_Gene|MIM:600487|belongs_to
ENTREZ:56911|NCBI_Entrez_Gene|MIM:611110|belongs_to
ENTREZ:9340|NCBI_Entrez_Gene|MIM:603659|belongs_to
ENTREZ:84267|NCBI_Entrez_Gene|MIM:611342|belongs_to
ENTREZ:79791|NCBI_Entrez_Gene|MIM:609102|belongs_to
ENTREZ:587|NCBI_Entrez_Gene|MIM:113530|belongs_to
ENTREZ:2112|NCBI_Entrez_Gene|MIM:602134p|belongs_to
ENTREZ:6579|NCBI_Entrez_Gene|MIM:602883|belongs_to
ENTREZ:83461|NCBI_Entrez_Gene|MIM:607749|belongs_to
ENTREZ:5121|NCBI_Entrez_Gene|MIM:601629|belongs_to
ENTREZ:8815|NCBI_Entrez_Gene|MIM:603811|belongs_to
ENTREZ:9767|NCBI_Entrez_Gene|MIM:300618|belongs_to
ENTREZ:10207|NCBI_Entrez_Gene|MIM:603199|belongs_to
ENTREZ:60598|NCBI_Entrez_Gene|MIM:607368|belongs_to
ENTREZ:102775568|NCBI_Entrez_Gene|MIM:300716p|belongs_to
ENTREZ:839|NCBI_Entrez_Gene|MIM:601532|belongs_to
ENTREZ:9321|NCBI_Entrez_Gene|MIM:604505|belongs_to
ENTREZ:503613|NCBI_Entrez_Gene|MIM:612410p|belongs_to
ENTREZ:54859|NCBI_Entrez_Gene|MIM:615020|belongs_to
ENTREZ:51377|NCBI_Entrez_Gene|MIM:610667|belongs_to
ENTREZ:8720|NCBI_Entrez_Gene|MIM:603355|belongs_to
ENTREZ:257218|NCBI_Entrez_Gene|MIM:608048|belongs_to
ENTREZ:51314|NCBI_Entrez_Gene|MIM:607421|belongs_to
ENTREZ:63973|NCBI_Entrez_Gene|MIM:606624|belongs_to
ENTREZ:139189|NCBI_Entrez_Gene|MIM:300837|belongs_to
ENTREZ:83723|NCBI_Entrez_Gene|MIM:615175|belongs_to
ENTREZ:22862|NCBI_Entrez_Gene|MIM:615794|belongs_to
ENTREZ:64848|NCBI_Entrez_Gene|MIM:616530|belongs_to
ENTREZ:26155|NCBI_Entrez_Gene|MIM:610770|belongs_to
ENTREZ:2168|NCBI_Entrez_Gene|MIM:134650|belongs_to
ENTREZ:594855|NCBI_Entrez_Gene|MIM:609585|belongs_to
ENTREZ:55423|NCBI_Entrez_Gene|MIM:605466|belongs_to
ENTREZ:2315|NCBI_Entrez_Gene|MIM:605513|belongs_to
ENTREZ:11167|NCBI_Entrez_Gene|MIM:605547|belongs_to
ENTREZ:346606|NCBI_Entrez_Gene|MIM:610184|belongs_to
ENTREZ:102467146|NCBI_Entrez_Gene|MIM:616264|belongs_to
ENTREZ:9479|NCBI_Entrez_Gene|MIM:604641|belongs_to
ENTREZ:7942|NCBI_Entrez_Gene|MIM:600744|belongs_to
ENTREZ:6736|NCBI_Entrez_Gene|MIM:480000|belongs_to
ENTREZ:4913|NCBI_Entrez_Gene|MIM:602656|belongs_to
ENTREZ:8674|NCBI_Entrez_Gene|MIM:606909|belongs_to
ENTREZ:100294716|NCBI_Entrez_Gene|MIM:612717p|belongs_to
ENTREZ:728269|NCBI_Entrez_Gene|MIM:300764|belongs_to
ENTREZ:1412|NCBI_Entrez_Gene|MIM:600836|belongs_to
ENTREZ:10435|NCBI_Entrez_Gene|MIM:606132|belongs_to
ENTREZ:3600|NCBI_Entrez_Gene|MIM:600554|belongs_to
ENTREZ:8215|NCBI_Entrez_Gene|MIM:601225|belongs_to
ENTREZ:84687|NCBI_Entrez_Gene|MIM:603325|belongs_to
ENTREZ:3743|NCBI_Entrez_Gene|MIM:176268|belongs_to
ENTREZ:5554|NCBI_Entrez_Gene|MIM:168730|belongs_to
ENTREZ:171484|NCBI_Entrez_Gene|MIM:300479|belongs_to
ENTREZ:349334|NCBI_Entrez_Gene|MIM:611085|belongs_to
ENTREZ:57732|NCBI_Entrez_Gene|MIM:614176|belongs_to
ENTREZ:7197|NCBI_Entrez_Gene|MIM:615303|belongs_to
ENTREZ:64843|NCBI_Entrez_Gene|MIM:609481|belongs_to
ENTREZ:53343|NCBI_Entrez_Gene|MIM:606022|belongs_to
ENTREZ:3216|NCBI_Entrez_Gene|MIM:142961|belongs_to
ENTREZ:2220|NCBI_Entrez_Gene|MIM:601624|belongs_to
ENTREZ:7593|NCBI_Entrez_Gene|MIM:194550|belongs_to
ENTREZ:1393|NCBI_Entrez_Gene|MIM:122559|belongs_to
ENTREZ:80765|NCBI_Entrez_Gene|MIM:607050|belongs_to
ENTREZ:8760|NCBI_Entrez_Gene|MIM:603549|belongs_to
ENTREZ:4477|NCBI_Entrez_Gene|MIM:157145|belongs_to
ENTREZ:55629|NCBI_Entrez_Gene|MIM:611882|belongs_to
ENTREZ:3892|NCBI_Entrez_Gene|MIM:601928|belongs_to
ENTREZ:10039|NCBI_Entrez_Gene|MIM:607726|belongs_to
ENTREZ:6569|NCBI_Entrez_Gene|MIM:182309|belongs_to
ENTREZ:7071|NCBI_Entrez_Gene|MIM:601878|belongs_to
ENTREZ:404719|NCBI_Entrez_Gene|MIM:608462p|belongs_to
ENTREZ:100750225|NCBI_Entrez_Gene|MIM:616043|belongs_to
ENTREZ:1107|NCBI_Entrez_Gene|MIM:602120|belongs_to
ENTREZ:8339|NCBI_Entrez_Gene|MIM:602798|belongs_to
ENTREZ:100190985|NCBI_Entrez_Gene|MIM:612239p|belongs_to
ENTREZ:10079|NCBI_Entrez_Gene|MIM:609126|belongs_to
ENTREZ:10294|NCBI_Entrez_Gene|MIM:611322|belongs_to
ENTREZ:100505394|NCBI_Entrez_Gene|MIM:613576p|belongs_to
ENTREZ:3493|NCBI_Entrez_Gene|MIM:146900|belongs_to
ENTREZ:7476|NCBI_Entrez_Gene|MIM:601570|belongs_to
ENTREZ:26266|NCBI_Entrez_Gene|MIM:604309|belongs_to
ENTREZ:8887|NCBI_Entrez_Gene|MIM:605326|belongs_to
ENTREZ:253738|NCBI_Entrez_Gene|MIM:607407|belongs_to
ENTREZ:9860|NCBI_Entrez_Gene|MIM:608869|belongs_to
ENTREZ:404217|NCBI_Entrez_Gene|MIM:600135|belongs_to
ENTREZ:7629|NCBI_Entrez_Gene|MIM:194549|belongs_to
ENTREZ:85569|NCBI_Entrez_Gene|MIM:611178|belongs_to
ENTREZ:51156|NCBI_Entrez_Gene|MIM:605271|belongs_to
ENTREZ:286053|NCBI_Entrez_Gene|MIM:617246|belongs_to
ENTREZ:4904|NCBI_Entrez_Gene|MIM:154030|belongs_to
ENTREZ:64376|NCBI_Entrez_Gene|MIM:606238|belongs_to
ENTREZ:271|NCBI_Entrez_Gene|MIM:102771|belongs_to
ENTREZ:81792|NCBI_Entrez_Gene|MIM:606184|belongs_to
ENTREZ:54617|NCBI_Entrez_Gene|MIM:610169|belongs_to
ENTREZ:9917|NCBI_Entrez_Gene|MIM:611063|belongs_to
ENTREZ:126259|NCBI_Entrez_Gene|MIM:614715|belongs_to
ENTREZ:64172|NCBI_Entrez_Gene|MIM:619634|belongs_to
ENTREZ:64847|NCBI_Entrez_Gene|MIM:613939|belongs_to
ENTREZ:7373|NCBI_Entrez_Gene|MIM:120324|belongs_to
ENTREZ:63970|NCBI_Entrez_Gene|MIM:605426|belongs_to
ENTREZ:51013|NCBI_Entrez_Gene|MIM:606493|belongs_to
ENTREZ:5507|NCBI_Entrez_Gene|MIM:602999|belongs_to
ENTREZ:100682326|NCBI_Entrez_Gene|MIM:614166p|belongs_to
ENTREZ:9451|NCBI_Entrez_Gene|MIM:604032|belongs_to
ENTREZ:2313|NCBI_Entrez_Gene|MIM:193067|belongs_to
ENTREZ:7324|NCBI_Entrez_Gene|MIM:602916|belongs_to
ENTREZ:1300|NCBI_Entrez_Gene|MIM:120110|belongs_to
ENTREZ:7479|NCBI_Entrez_Gene|MIM:601396|belongs_to
ENTREZ:6201|NCBI_Entrez_Gene|MIM:603658|belongs_to
ENTREZ:64900|NCBI_Entrez_Gene|MIM:605520|belongs_to
ENTREZ:55666|NCBI_Entrez_Gene|MIM:606590|belongs_to
ENTREZ:84320|NCBI_Entrez_Gene|MIM:616352|belongs_to
ENTREZ:79969|NCBI_Entrez_Gene|MIM:615556|belongs_to
ENTREZ:55711|NCBI_Entrez_Gene|MIM:616156|belongs_to
ENTREZ:55902|NCBI_Entrez_Gene|MIM:605832|belongs_to
ENTREZ:1520|NCBI_Entrez_Gene|MIM:116845|belongs_to
ENTREZ:1813|NCBI_Entrez_Gene|MIM:126450|belongs_to
ENTREZ:10936|NCBI_Entrez_Gene|MIM:606704|belongs_to
ENTREZ:11119|NCBI_Entrez_Gene|MIM:613593|belongs_to
ENTREZ:2299|NCBI_Entrez_Gene|MIM:601093|belongs_to
ENTREZ:9341|NCBI_Entrez_Gene|MIM:603657|belongs_to
ENTREZ:130749|NCBI_Entrez_Gene|MIM:609563|belongs_to
ENTREZ:619411|NCBI_Entrez_Gene|MIM:609470p|belongs_to
ENTREZ:390792|NCBI_Entrez_Gene|MIM:616678|belongs_to
ENTREZ:387119|NCBI_Entrez_Gene|MIM:618865|belongs_to
ENTREZ:11240|NCBI_Entrez_Gene|MIM:607935|belongs_to
ENTREZ:23741|NCBI_Entrez_Gene|MIM:605894|belongs_to
ENTREZ:170679|NCBI_Entrez_Gene|MIM:613525|belongs_to
ENTREZ:64005|NCBI_Entrez_Gene|MIM:600642|belongs_to
ENTREZ:1732|NCBI_Entrez_Gene|MIM:142340p|belongs_to
ENTREZ:696|NCBI_Entrez_Gene|MIM:601610|belongs_to
ENTREZ:353219|NCBI_Entrez_Gene|MIM:608211|belongs_to
ENTREZ:4673|NCBI_Entrez_Gene|MIM:164060|belongs_to
ENTREZ:29122|NCBI_Entrez_Gene|MIM:607950|belongs_to
ENTREZ:64699|NCBI_Entrez_Gene|MIM:605511|belongs_to
ENTREZ:9843|NCBI_Entrez_Gene|MIM:300167|belongs_to
ENTREZ:1187|NCBI_Entrez_Gene|MIM:602024|belongs_to
ENTREZ:285203|NCBI_Entrez_Gene|MIM:614789|belongs_to
ENTREZ:134288|NCBI_Entrez_Gene|MIM:614909|belongs_to
ENTREZ:11063|NCBI_Entrez_Gene|MIM:606698|belongs_to
ENTREZ:55055|NCBI_Entrez_Gene|MIM:609984|belongs_to
ENTREZ:342945|NCBI_Entrez_Gene|MIM:165260|belongs_to
ENTREZ:23437|NCBI_Entrez_Gene|MIM:189910|belongs_to
ENTREZ:389856|NCBI_Entrez_Gene|MIM:300975|belongs_to
ENTREZ:57099|NCBI_Entrez_Gene|MIM:605265|belongs_to
ENTREZ:6651|NCBI_Entrez_Gene|MIM:182465|belongs_to
ENTREZ:9363|NCBI_Entrez_Gene|MIM:300333|belongs_to
ENTREZ:5470|NCBI_Entrez_Gene|MIM:602256|belongs_to
